rho,Lambda,window,window_method,regime,x_min,x_max,Bbar,F_expected,active_density,T,p1_amplitude,cos_coeff,sin_coeff,fit_rmse,p1_amplitude_norm,lk_fit_norm,m_eff_fit
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.0002,0.0007076088629060185,0.0001928834194374989,0.0006808129621043113,0.0007554240180311308,1.0,1.0,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.00030682548092687834,0.0007016607664805822,0.0002018789126497738,0.000671991618880372,0.0007419632225782041,0.9915940899877814,0.9993078807318811,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.00047070937873005034,0.0006928817832845767,0.00021567914392813632,0.0006584585579078165,0.0007214820814089812,0.9791875421670662,0.9976815895607539,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.000722128157528199,0.0006802615320934222,0.00023685045788808846,0.0006376971166974905,0.0006904977790527209,0.9613524755748735,0.9938686256902999,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.0011078365961221508,0.0006630147146699489,0.0002693299454010732,0.0006058464263979188,0.0006441477754442663,0.9369790988019431,0.9849747115539174,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.0016995624819678722,0.0006419444438963278,0.0003191554420730818,0.0005569851639357203,0.0005765404515069467,0.9072023790939826,0.9644766532471447,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.0026073453794753566,0.0006225047569923393,0.00039446575819892984,0.000481569245370419,0.0004839192457929151,0.8797300169981302,0.9185224508181277,0.6258952434575867
0.01,1.0,W0,zero,electron,12.991947284220043,31.856531364150513,0.04459460075961048,0.06283185307179587,0.01,0.004,0.0006083970987076046,0.0004914908874525442,0.0003585857460454071,0.0003578618673845413,0.8597929316614695,0.8216962730869256,0.6258952434575867
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.0002,0.002037474550774071,0.0005637687344686465,0.001957924247535543,0.0011606693675477293,1.0,1.0,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.00030682548092687834,0.0020040996243717024,0.000580099151117644,0.0019183066176394709,0.001126342708908468,0.9836194634236345,0.9965526529009723,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.00047070937873005034,0.001953617103090719,0.0006051520889484288,0.0018575281248826158,0.0010741902913050008,0.9588424563872501,0.9885044977220008,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.000722128157528199,0.00187800605631509,0.0006435855358261097,0.001764285806107269,0.0009955799824552566,0.9217322766567091,0.9699178005524536,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.0011078365961221508,0.001764843156066147,0.0006997863100475948,0.0016201760662914047,0.0008800787504810073,0.8661915091875152,0.9280536089172294,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.0016995624819678722,0.0015914910147277214,0.0007665796287665048,0.0013947040269244512,0.0007184984457570809,0.7811096409145759,0.8389298738442097,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.0026073453794753566,0.0013338095050357645,0.000794840805115283,0.0010711096536991159,0.0005298956984696818,0.6546386086290147,0.6707899927201548,0.7876785130570491
0.01,1.0,W1,zero,electron,31.856531364150513,47.786749523013505,0.02511197401364635,0.06283185307179587,0.01,0.004,0.0009738152176851303,0.0006670114959266577,0.0007095151460658328,0.0003549475821897562,0.47795208893046615,0.42023845676706634,0.7876785130570491
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.0002,0.0024460364475389867,-0.00036834969508663676,0.0024181424285634476,0.001163880838679105,1.0,1.0,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.00030682548092687834,0.0023777006580466657,-0.0003498215629202229,0.0023518259487877924,0.0011054609101312923,0.9720626446261358,0.9900807000690202,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.00047070937873005034,0.002272925904412171,-0.00032139704937101895,0.0022500880213012753,0.0010170669219295087,0.9292281424093307,0.9672711911262762,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.000722128157528199,0.002112354879828135,-0.00027779029245120614,0.0020940094774746384,0.0008852711130336468,0.8635827491260091,0.9163989387967502,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.0011078365961221508,0.001867413749423718,-0.00021156475110325516,0.0018553906509485721,0.000697437345933471,0.7634447766723041,0.8104220923598259,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.0016995624819678722,0.001492081138256568,-0.00012831196796765269,0.0014865537871255395,0.0004384443643494437,0.6099995524423951,0.6191789510808675,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.0026073453794753566,0.000948236631388381,1.1299831811500193e-05,0.0009481693007621667,0.00018232740588013357,0.38766251105637595,0.35629003855046987,0.9575885299966331
0.01,1.0,W2,zero,electron,47.786749523013505,63.70041603018047,0.01793928467080579,0.06283185307179587,0.01,0.004,0.0003787026751154702,0.0001408537780776151,0.0003515336816592051,7.246026602191779e-05,0.15482298945156425,0.12551344362663316,0.9575885299966331
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.0002,0.00012037360826788506,9.087019592495406e-06,0.00012003012806106578,6.851625542355987e-05,1.0,1.0,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.00030682548092687834,9.534643614940555e-05,1.0327369728944827e-05,9.478548581335829e-05,4.736148153424078e-05,0.7920875474399433,0.8051210468227826,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.00047070937873005034,6.174487492973928e-05,8.270854513013878e-06,6.118841839526255e-05,2.123823942737014e-05,0.512943624588617,0.5110614403759759,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.000722128157528199,2.6241171543171356e-05,4.94866245516509e-06,2.577032836156702e-05,3.7419203951034546e-06,0.2179977149540373,0.21214586969296204,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.0011078365961221508,5.1220609478193015e-06,1.8192699384117549e-06,4.788085759921897e-06,4.6016883202898575e-07,0.04255136172723532,0.04426811529872481,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.0016995624819678722,2.1371353530299342e-06,-1.1882946500370158e-06,-1.7763173539274418e-06,1.7178743134787352e-06,0.0177541853549314,0.003185266927820879,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.0026073453794753566,4.203929644634307e-06,-2.864781633429142e-06,-3.076694760583536e-06,2.889183977764362e-06,0.034924014533806155,4.47152454535873e-05,8.265114327158928
-0.01,1.0,W0,manual,shallow_hole,24.237832872,39.150130313,0.0315517315829021,0.06283185307179587,0.01,0.004,5.016342967624276e-06,-3.4725503234004517e-06,-3.620095443532525e-06,3.405358294905736e-06,0.04167311290080025,5.115865568123377e-08,8.265114327158928
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.0002,6.582355377178302e-05,1.3463216306982342e-05,6.443199545115932e-05,1.0643698897462237e-05,1.0,1.0,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.00030682548092687834,3.397411781198681e-05,9.738043538969505e-06,3.254859734513753e-05,4.2882554441863115e-06,0.5161392216801077,0.5459026221920554,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.00047070937873005034,1.3442020129821425e-05,4.257318416973153e-06,1.2750025296721008e-05,3.411620909001492e-06,0.20421292014141748,0.17639506942083158,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.000722128157528199,3.301863036489887e-06,-1.9917204946117034e-07,3.2958504223419565e-06,1.2655692931508893e-06,0.05016233319668189,0.024909041796926077,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.0011078365961221508,7.585358838911248e-07,-7.542954343423614e-07,-8.009422501502971e-08,9.59597114762159e-07,0.01152377591949906,0.0009839279773175512,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.0016995624819678722,2.950280356464692e-07,-2.0447383290257026e-07,-2.126781452701383e-07,1.7345142904902068e-06,0.00448210433410146,5.504344662430326e-06,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.0026073453794753566,1.0878825968292067e-07,-5.211630182553673e-08,-9.54922851798413e-08,2.4889843117528778e-06,0.0016527254067761315,1.5352591504957656e-09,10.192705853577676
-0.01,1.0,W1,manual,shallow_hole,39.150130313,55.160533851,0.021206509547235637,0.06283185307179587,0.01,0.004,3.4051343793215715e-08,-6.5729467808292315e-09,3.3410932114207125e-08,2.5382348935847174e-06,0.0005173124488427835,4.303436983976876e-15,10.192705853577676
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.0002,1.571157982837299e-05,2.750766258535948e-06,1.5468905122672296e-05,2.825235601472258e-06,1.0,1.0,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.00030682548092687834,3.6906110852959666e-06,-1.7350823586084578e-07,3.6865302216308943e-06,9.848832107595043e-07,0.23489751671128714,0.23698391240998198,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.00047070937873005034,4.686792658560585e-07,-4.385410220249112e-07,1.653542447133437e-07,3.231180415139874e-07,0.029830180731391955,0.020738335117781285,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.000722128157528199,1.3389057741259435e-07,-1.0617775729889404e-07,-8.156574388096433e-08,4.095538552837863e-07,0.008521776859816862,0.00039309037731663065,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.0011078365961221508,1.0746624735723984e-07,-1.0612786020987661e-07,1.6907738119581396e-08,1.2302795356853575e-06,0.006839938983295004,7.128851500658733e-07,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.0016995624819678722,2.0216946024569344e-07,-2.0213161386880463e-07,3.911691555771069e-09,2.2362221330482957e-06,0.012867544986189276,3.5316468238577556e-11,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.0026073453794753566,2.529196688760776e-07,-2.529098405566282e-07,-2.2296757624471516e-09,2.815177014195156e-06,0.01609765991955429,6.98586535169578e-18,13.924976039663942
-0.01,1.0,W2,manual,shallow_hole,55.160533851,71.994823747,0.01572879065247863,0.06283185307179587,0.01,0.004,2.1999736066019187e-07,-2.1998303817119637e-07,2.5103016592628363e-09,2.577281650808062e-06,0.014002243126620937,2.887547356393701e-28,13.924976039663942
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.0002,0.00019292147154629277,-6.3010391496859475e-06,0.0001928185444640146,8.359069709372005e-05,1.0,1.0,11.337111263392153
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.00030682548092687834,0.00016796874741939873,-9.276615128322023e-06,0.00016771238630883156,6.221227497559148e-05,0.8706586471329788,0.8955857345915466,11.337111263392153
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.00047070937873005034,0.00013138793347806986,-1.5684285091495805e-05,0.0001304484276057262,3.4287439229894256e-05,0.6810435998905516,0.7023086261216632,11.337111263392153
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.000722128157528199,8.14987100697707e-05,-2.0059629927605845e-05,7.899146150188666e-05,1.3050467418414202e-05,0.4224449949326379,0.42416448231148884,11.337111263392153
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.0011078365961221508,3.550808145856517e-05,-1.5052054550299222e-05,3.215990520326383e-05,8.546123125472043e-06,0.18405458539146988,0.1619272261421941,11.337111263392153
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.0016995624819678722,1.2213278572945845e-05,-6.744635234374544e-06,1.0182046408046448e-05,4.14997014911369e-06,0.0633069946805542,0.029634513491396296,11.337111263392153
-0.02,1.0,W0,zero,shallow_hole,11.84197505165119,20.265396613319695,0.06229099101817787,0.12566370614359174,0.02,0.0026073453794753566,4.659032264947506e-06,-2.7881187966045385e-06,3.7326900784611553e-06,3.5385375594770384e-06,0.02414988973287787,0.0017430044463422661,11.337111263392153
