rho,Lambda,T,regime_mid,frequency_expected,frequency_density_label,active_density,target_min,target_max,mu_min,mu_max,deltaOmega_min,deltaOmega_max,Mtilde_min,Mtilde_max
-0.02,1.0,0.0016995624819678722,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.022892505037432235,0.06171489695027458,-1.0674150112528161e-05,4.252265733278344e-06,-1.9632795051729426e-05,3.983981130617981e-05
-0.02,1.0,0.0026073453794753566,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.021840644356857453,0.05997141109945034,-1.0679127860193201e-05,4.394666464905059e-06,-1.676832232799276e-05,1.7942214055307725e-05
-0.02,1.0,0.004,shallow_hole,0.12566370614359174,|\rho|,0.02,0.02,0.02,0.0202753681949487,0.0566940836308416,-1.0337033176301868e-05,7.316970237698935e-06,-2.057051279663602e-05,1.76972011994821e-05
-0.14,1.0,0.0002,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.07270963560430448,0.08331713614140943,-2.610543464261775e-05,2.2711648706691452e-05,-0.0003513854226310344,0.00035620600348855534
-0.14,1.0,0.00030682548092687834,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.07256389204129723,0.08319504755183156,-2.393461661181939e-05,1.895053976997988e-05,-0.00028331895804622424,0.0002595443385959035
-0.14,1.0,0.00047070937873005034,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.07234022219020089,0.0829859763164362,-2.044150487306808e-05,1.4131822338306463e-05,-0.00019920864420957,0.00020312256449052032
-0.14,1.0,0.000722128157528199,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.07199412510026267,0.08266379194122551,-1.4826671150409157e-05,8.630213728441145e-06,-0.00010760142399420447,0.00013600452404630668
-0.14,1.0,0.0011078365961221508,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.07142865595620891,0.08219033105975967,-7.65468066834816e-06,3.98998416202857e-06,-3.6706312397949154e-05,4.9204296342553536e-05
-0.14,1.0,0.0016995624819678722,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.07040223148657807,0.08150212330960573,-1.297437347859545e-06,1.2912524533856685e-06,-2.7784886489149764e-05,1.3679292690469032e-05
-0.14,1.0,0.0026073453794753566,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.06872459573101,0.08048724629937727,-2.0357378004690248e-06,4.490465942903326e-06,-7.732202088966446e-05,3.591950873199287e-05
-0.14,1.0,0.004,deep_hole,0.12035405699485786,"\rho_{\rm low,e}",0.019154943091895332,0.019154943091895332,0.019154943091895332,0.06692604995333631,0.07894845965499442,-2.947417450832959e-06,4.391053343787984e-06,-7.858190161705216e-05,5.545541225189174e-05
-0.15,1.0,0.0002,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.059109031658535864,0.08216817045770514,-3.802087883683931e-05,3.531045192018512e-05,-0.0006529442898808241,0.0006291102808504596
-0.15,1.0,0.00030682548092687834,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.05914142002496424,0.0820890650897317,-3.39461151926722e-05,3.145789759281128e-05,-0.0005780194845794835,0.000569690926828249
-0.15,1.0,0.00047070937873005034,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.05919110790892713,0.0818864078955345,-2.8320378449481063e-05,2.6313603040720424e-05,-0.0004788851498919056,0.0004862241024906175
-0.15,1.0,0.000722128157528199,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.059267335434731526,0.08147208726702018,-2.0684106192297144e-05,1.9831394395344373e-05,-0.000360493640363214,0.0003730209419301481
-0.15,1.0,0.0011078365961221508,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.05938425651338648,0.08077145089403258,-1.4242426604607287e-05,1.2140933300115162e-05,-0.0002265631383906706,0.00027794541021625694
-0.15,1.0,0.0016995624819678722,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.059560798690896324,0.07967442679253438,-7.172259389160411e-06,4.666180779863666e-06,-9.544357093068767e-05,0.00015284394776797266
-0.15,1.0,0.0026073453794753566,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.059750397329169785,0.07796264925149235,-1.007548479234692e-06,8.157346967274719e-07,-2.07400944950086e-05,3.177157653961129e-05
-0.15,1.0,0.004,deep_hole,0.05752220392306212,"\rho_{\rm low,e}",0.009154943091895351,0.009154943091895351,0.009154943091895351,0.05936805020046653,0.07525963787284466,-7.126244504532221e-07,1.0276675525430036e-06,-2.133600502644004e-05,1.9663339701073103e-05
