rho,T,invB,B,mu,E_ref,rank_by_abs_E_minus_mu,branch,n,E,E_minus_mu,abs_E_minus_mu,occupation
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,1,LLTR+,2,0.18947455157979848,-0.00024156195673227798,0.00024156195673227798,0.7699111860950753
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,2,LL+,1,0.17340235796801967,-0.016313755568511085,0.016313755568511085,1.0
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,3,LL+,2,0.2132726580039645,0.023556544467433743,0.023556544467433743,7.040664102917467e-52
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,4,LLTR+,1,0.15580604897569642,-0.03391006456083434,0.03391006456083434,1.0
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,5,LLTR+,3,0.22478169606277087,0.03506558252624012,0.03506558252624012,7.178852342027351e-77
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,6,LL+,3,0.25182539720549957,0.06210928366896881,0.06210928366896881,1.3533313363650824e-135
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,7,LLTR0,0,0.126357399103139,-0.06335871443339175,0.06335871443339175,1.0
0.01,0.0002,60.0,0.016666666666666666,0.18971611353653076,0.11492036621823618,8,LLTR+,4,0.2608200882803535,0.07110397474382277,0.07110397474382277,3.97814525745817e-155
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,1,LL+,2,0.20027677194563545,8.256935478101468e-05,8.256935478101468e-05,0.39822971501236903
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,2,LLTR+,3,0.2112275950745965,0.011033392483742077,0.011033392483742077,1.099746625862224e-24
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,3,LLTR+,2,0.1810136965284933,-0.01918050606236113,0.01918050606236113,1.0
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,4,LL+,3,0.23341087529437274,0.0332166727035183,0.0332166727035183,7.428680640128757e-73
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,5,LL+,1,0.1660006764614494,-0.034193526129405044,0.034193526129405044,1.0
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,6,LLTR+,4,0.2420592339322761,0.041865031341421666,0.041865031341421666,1.2337850927712064e-91
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,7,LLTR+,1,0.15211109199923098,-0.04808311059162346,0.04808311059162346,1.0
0.01,0.0002,70.0,0.014285714285714285,0.20019420259085444,0.11359298526585522,8,LL+,4,0.2660695748435494,0.06587537225269494,0.06587537225269494,8.98352305418281e-144
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,1,LLTR+,3,0.20102085703815614,0.0007203769192737075,0.0007203769192737075,0.026548245648996705
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,2,LL+,2,0.19057718634522744,-0.009723293773654995,0.009723293773654995,1.0
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,3,LL+,3,0.21963126958314919,0.01933078946426675,0.01933078946426675,1.0561461595974483e-42
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,4,LLTR+,2,0.17461073892794624,-0.0256897411909362,0.0256897411909362,1.0
0.01,0.0002,80.0,0.0125,0.20030048011888243,0.1125974495515695,5,LLTR+,4,0.22795888283181318,0.02765840271293074,0.02765840271293074,8.720504641544044e-61
