rho,T,invB,B,mu,E_ref,active_level_count,density_residual,active_vs_labeled_spectrum_error,below_branch,below_n,below_E,below_E_minus_mu,above_branch,above_n,above_E,above_E_minus_mu,nearest_LLplus_branch,nearest_LLplus_n,nearest_LLplus_E,nearest_LLplus_E_minus_mu,nearest_LLTRplus_branch,nearest_LLTRplus_n,nearest_LLTRplus_E,nearest_LLTRplus_E_minus_mu,fermi_bracketing_spacing,nearest_LLplus_LLTRplus_energy_difference,nearest_LLplus_LLTRplus_abs_splitting,nearest_LLplus_LLTRplus_n_difference
0.01,0.0002,12.502780867630701,0.07998220640569395,0.1743398488184672,0.15021877962274388,13,-6.114992193162472e-12,0.0,LL0,0,0.17408016014234876,-0.0002596886761184469,LLTR+,1,0.23945845948830471,0.06511861066983751,LL+,1,0.38142972831966804,0.20708987950120084,LLTR+,1,0.23945845948830471,0.06511861066983751,0.06537829934595596,-0.14197126883136332,0.14197126883136332,0
0.01,0.0002,12.602892102335929,0.0793468667255075,0.17363899485366388,0.14986457775103995,13,-4.159207700471512e-13,0.0,LL0,0,0.17337175639894087,-0.0002672384547230122,LLTR+,1,0.2386801466382429,0.06504115178457903,LL+,1,0.379314700302373,0.20567570544870914,LLTR+,1,0.2386801466382429,0.06504115178457903,0.06530839023930204,-0.1406345536641301,0.1406345536641301,0
0.01,0.0002,12.703003337041157,0.07872154115586691,0.1729494767505267,0.1495159587459653,13,-1.4489624777791477e-13,0.0,LL0,0,0.1726745183887916,-0.00027495836173507815,LLTR+,1,0.23791350036670406,0.06496402361617737,LL+,1,0.37723315926365175,0.20428368251312506,LLTR+,1,0.23791350036670406,0.06496402361617737,0.06523898197791245,-0.1393196588969477,0.1393196588969477,0
0.01,0.0002,12.803114571746384,0.07810599478714161,0.17227104435898988,0.14917279164540095,13,2.3197757950677023e-11,0.0,LL0,0,0.1719881841876629,-0.0002828601713269763,LLTR+,1,0.2371582526882843,0.06488720832929443,LL+,1,0.37518431942981767,0.2029132750708278,LLTR+,1,0.2371582526882843,0.06488720832929443,0.0651700685006214,-0.13802606674153337,0.13802606674153337,0
0.01,0.0002,12.903225806451612,0.0775,0.17160345677846503,0.1488349495515695,13,3.989863994746656e-15,0.0,LL0,0,0.1713125,-0.00029095677846502355,LLTR+,1,0.23641414385113896,0.06481068707267393,LL+,1,0.3731674194133039,0.20156396263483886,LLTR+,1,0.23641414385113896,0.06481068707267393,0.06510164385113895,-0.13675327556216493,0.13675327556216493,0
0.01,0.0002,13.003337041156842,0.07690333618477331,0.17094648222286876,0.14850230947458062,13,-1.1728465421079193e-14,0.0,LL0,0,0.17064721984602224,-0.0002992623768465208,LLTR+,1,0.2356809220217041,0.06473443979883534,LL+,1,0.371181721273936,0.20023523905106724,LLTR+,1,0.2356809220217041,0.06473443979883534,0.06503370217568186,-0.1355007992522319,0.1355007992522319,0
0.01,0.0002,13.10344827586207,0.07631578947368421,0.1702998978825726,0.14817475218314846,13,3.2633286697891783e-11,0.0,LL0,0,0.1699921052631579,-0.00030779261941471514,LLTR+,1,0.23495834298382864,0.06465844510125604,LL+,1,0.36922650962323544,0.19892661174066284,LLTR+,1,0.23495834298382864,0.06465844510125604,0.06496623772067076,-0.1342681666394068,0.1342681666394068,0
0.01,0.0002,13.203559510567297,0.07573715248525695,0.16966348984714466,0.14785216206210025,13,8.974604046030343e-12,0.0,LL0,0,0.1693469250210615,-0.0003165648260831655,LLTR+,1,0.2342461698515525,0.06458268000440784,LL+,1,0.3673010907694719,0.19763760092232727,LLTR+,1,0.2342461698515525,0.06458268000440784,0.064899244830491,-0.13305492091791943,0.13305492091791943,0
0.01,0.0002,13.303670745272525,0.07516722408026756,0.16903705311821918,0.1475344269763187,13,1.8762522785431557e-11,0.0,LL0,0,0.16871145484949834,-0.00032559826872083364,LLTR+,1,0.23354417279481396,0.06450711967659478,LL+,1,0.36540479190131625,0.19636773878309707,LLTR+,1,0.23354417279481396,0.06450711967659478,0.06483271794531562,-0.1318606191065023,0.1318606191065023,0
0.01,0.0002,13.403781979977753,0.07460580912863071,0.16842039161462852,0.14722143814078115,13,2.2412627309620348e-15,0.0,LL0,0,0.16808547717842326,-0.00033491443620525807,LLTR+,1,0.2328521287774107,0.0644317371627822,LL+,1,0.3635369603080767,0.19511656869344818,LLTR+,1,0.2328521287774107,0.0644317371627822,0.06476665159898745,-0.13068483153066598,0.13068483153066598,0
